desbaste,bloco,rep,diametro
30,1,1,29.7
30,1,2,34.98
30,1,3,24.42
30,1,4,28.38
30,2,1,25.74
30,2,2,23.1
30,2,3,27.06
30,2,4,15.18
30,3,1,30.36
30,3,2,27.06
30,3,3,33.66
30,3,4,22.44
30,4,1,32.34
30,4,2,29.04
30,4,3,14.52
30,4,4,31.68
30,5,1,32.34
30,5,2,19.14
30,5,3,32.34
30,5,4,31.68
50,1,1,33.66
50,1,2,33.66
50,1,3,33.66
50,1,4,30.36
50,2,1,31.02
50,2,2,31.68
50,2,3,28.38
50,2,4,31.416
50,3,1,26.4
50,3,2,32.34
50,3,3,33
50,3,4,31.68
50,4,1,34.98
50,4,2,31.68
50,4,3,33
50,4,4,23.1
50,5,1,28.38
50,5,2,32.34
50,5,3,32.34
50,5,4,22.44
